State,ProcedureCode,ProcedureName,Category,ReimbursementRate,AnnualUtilization
CA,D0120,Periodic Oral Evaluation,Preventive,203.2,4272
CA,D0120,Periodic Oral Evaluation,Preventive,157.28,966
CA,D0120,Periodic Oral Evaluation,Preventive,42.99,3944
CA,D0120,Periodic Oral Evaluation,Preventive,158.26,630
CA,D0120,Periodic Oral Evaluation,Preventive,24.73,1269
CA,D1110,Adult Prophylaxis (Cleaning),Preventive,68.84,1684
CA,D1110,Adult Prophylaxis (Cleaning),Preventive,89.98,4617
CA,D1110,Adult Prophylaxis (Cleaning),Preventive,21.63,3404
CA,D1110,Adult Prophylaxis (Cleaning),Preventive,86.98,1582
CA,D0140,Limited Oral Evaluation (Problem Focused),Diagnostic,52.08,3247
CA,D0140,Limited Oral Evaluation (Problem Focused),Diagnostic,104.26,689
CA,D0140,Limited Oral Evaluation (Problem Focused),Diagnostic,40.84,3505
CA,D0140,Limited Oral Evaluation (Problem Focused),Diagnostic,65.92,1767
CA,D0140,Limited Oral Evaluation (Problem Focused),Diagnostic,156.26,3702
CA,D0210,Complete X-rays (FMX),Diagnostic,159.74,3388
CA,D0210,Complete X-rays (FMX),Diagnostic,34.96,2935
CA,D0210,Complete X-rays (FMX),Diagnostic,236.71,2561
CA,D2330,Anterior Composite Filling,Restorative,108.65,3112
CA,D2330,Anterior Composite Filling,Restorative,73.11,1978
CA,D2330,Anterior Composite Filling,Restorative,160.3,1275
CA,D2330,Anterior Composite Filling,Restorative,27.91,3652
CA,D7140,Simple Extraction,Surgical,172.38,3573
CA,D7140,Simple Extraction,Surgical,117.79,3113
CA,D7140,Simple Extraction,Surgical,145.74,2000
CA,D7140,Simple Extraction,Surgical,243.0,661
CA,D7210,Surgical Extraction,Surgical,225.81,3842
CA,D7210,Surgical Extraction,Surgical,40.35,4298
CA,D7210,Surgical Extraction,Surgical,139.79,837
CA,D7210,Surgical Extraction,Surgical,144.13,4493
CA,D9110,Palliative Emergency Treatment,Emergency,84.61,879
CA,D9110,Palliative Emergency Treatment,Emergency,83.48,2562
CA,D9110,Palliative Emergency Treatment,Emergency,58.01,3068
TX,D0120,Periodic Oral Evaluation,Preventive,65.7,1995
TX,D0120,Periodic Oral Evaluation,Preventive,23.24,891
TX,D0120,Periodic Oral Evaluation,Preventive,187.67,4974
TX,D1110,Adult Prophylaxis (Cleaning),Preventive,233.05,3599
TX,D1110,Adult Prophylaxis (Cleaning),Preventive,218.51,3604
TX,D1110,Adult Prophylaxis (Cleaning),Preventive,34.62,2954
TX,D0140,Limited Oral Evaluation (Problem Focused),Diagnostic,94.79,3231
TX,D0140,Limited Oral Evaluation (Problem Focused),Diagnostic,166.64,2070
TX,D0140,Limited Oral Evaluation (Problem Focused),Diagnostic,128.61,3190
TX,D0140,Limited Oral Evaluation (Problem Focused),Diagnostic,194.98,1002
TX,D0210,Complete X-rays (FMX),Diagnostic,78.9,4988
TX,D0210,Complete X-rays (FMX),Diagnostic,183.45,1984
TX,D0210,Complete X-rays (FMX),Diagnostic,66.4,1363
TX,D0210,Complete X-rays (FMX),Diagnostic,166.37,1063
TX,D0210,Complete X-rays (FMX),Diagnostic,149.55,2257
TX,D2330,Anterior Composite Filling,Restorative,77.34,2178
TX,D2330,Anterior Composite Filling,Restorative,193.78,1559
TX,D2330,Anterior Composite Filling,Restorative,236.86,2222
TX,D7140,Simple Extraction,Surgical,57.08,3125
TX,D7140,Simple Extraction,Surgical,163.6,2097
TX,D7140,Simple Extraction,Surgical,165.68,3193
TX,D7140,Simple Extraction,Surgical,125.0,4127
TX,D7140,Simple Extraction,Surgical,115.8,2481
TX,D7210,Surgical Extraction,Surgical,94.6,2538
TX,D7210,Surgical Extraction,Surgical,226.1,3802
TX,D7210,Surgical Extraction,Surgical,228.57,1806
TX,D7210,Surgical Extraction,Surgical,118.23,3175
TX,D7210,Surgical Extraction,Surgical,101.09,1782
TX,D9110,Palliative Emergency Treatment,Emergency,57.87,4913
TX,D9110,Palliative Emergency Treatment,Emergency,71.08,1163
TX,D9110,Palliative Emergency Treatment,Emergency,236.87,3945
TX,D9110,Palliative Emergency Treatment,Emergency,70.32,1995
TX,D9110,Palliative Emergency Treatment,Emergency,181.69,2353
FL,D0120,Periodic Oral Evaluation,Preventive,78.4,1791
FL,D0120,Periodic Oral Evaluation,Preventive,77.91,3957
FL,D0120,Periodic Oral Evaluation,Preventive,183.82,2136
FL,D1110,Adult Prophylaxis (Cleaning),Preventive,249.48,1198
FL,D1110,Adult Prophylaxis (Cleaning),Preventive,160.2,1354
FL,D1110,Adult Prophylaxis (Cleaning),Preventive,84.09,3974
FL,D0140,Limited Oral Evaluation (Problem Focused),Diagnostic,53.33,2207
FL,D0140,Limited Oral Evaluation (Problem Focused),Diagnostic,122.99,2233
FL,D0140,Limited Oral Evaluation (Problem Focused),Diagnostic,75.67,4010
FL,D0140,Limited Oral Evaluation (Problem Focused),Diagnostic,195.17,4718
FL,D0210,Complete X-rays (FMX),Diagnostic,187.49,2827
FL,D0210,Complete X-rays (FMX),Diagnostic,128.17,697
FL,D0210,Complete X-rays (FMX),Diagnostic,111.73,4082
FL,D2330,Anterior Composite Filling,Restorative,54.67,4782
FL,D2330,Anterior Composite Filling,Restorative,62.9,2294
FL,D2330,Anterior Composite Filling,Restorative,155.91,1869
FL,D7140,Simple Extraction,Surgical,206.19,3719
FL,D7140,Simple Extraction,Surgical,168.39,2343
FL,D7140,Simple Extraction,Surgical,236.32,2459
FL,D7140,Simple Extraction,Surgical,108.95,2885
FL,D7140,Simple Extraction,Surgical,212.67,2302
